job_id,name,team_id,service_name,region,vcpus,gpu_count,duration_hours,category,started_at,ended_at,workload_type,cost_usd,kgco2e,kgco2e_lower,kgco2e_upper
eb97f5c9,ci_cd-000-8585,devops,ci_cd,us-east-1,2,0,0.03,balanced,2025-01-01 15:25:00,2025-01-01 15:26:48.000000,ci_cd,0.0024,8.1e-05,6.5e-05,9.7e-05
762021aa,ci_cd-000-1281,data-eng,ci_cd,us-west-2,4,0,0.317,balanced,2025-01-01 20:30:00,2025-01-01 20:49:00.007645,ci_cd,0.0507,0.000614,0.000491,0.000737
794784aa,ci_cd-000-4434,frontend,ci_cd,us-east-1,4,0,0.056,balanced,2025-01-01 20:32:00,2025-01-01 20:35:22.203396,ci_cd,0.009,0.000399,0.000319,0.000479
94614f42,ci_cd-000-7580,backend-api,ci_cd,us-east-1,8,0,0.177,balanced,2025-01-01 17:09:00,2025-01-01 17:19:36.554080,ci_cd,0.0566,0.001965,0.001572,0.002358
1c8f2652,ci_cd-000-4667,platform,ci_cd,us-east-1,2,0,0.265,balanced,2025-01-01 08:21:00,2025-01-01 08:36:52.643342,ci_cd,0.0212,0.00108,0.000864,0.001296
a02a8fde,ci_cd-000-3258,backend-api,ci_cd,us-east-1,4,0,0.369,urgent,2025-01-01 22:24:00,2025-01-01 22:46:09.645038,ci_cd,0.059,0.00331,0.002648,0.003972
6867cfef,ci_cd-000-2269,mobile,ci_cd,us-east-1,4,0,0.281,balanced,2025-01-01 15:19:00,2025-01-01 15:35:53.303305,ci_cd,0.045,0.001512,0.00121,0.001814
868b3871,ci_cd-000-3874,backend-api,ci_cd,us-east-1,4,0,0.234,urgent,2025-01-01 20:50:00,2025-01-01 21:04:00.741596,ci_cd,0.0374,0.001668,0.001335,0.002002
1680d038,ci_cd-000-7869,mobile,ci_cd,us-east-1,4,0,0.152,balanced,2025-01-01 00:47:00,2025-01-01 00:56:07.377543,ci_cd,0.0243,0.001391,0.001113,0.00167
95df9f8a,ci_cd-000-1397,platform,ci_cd,us-east-1,4,0,0.345,balanced,2025-01-01 17:02:00,2025-01-01 17:22:42.870311,ci_cd,0.0552,0.001915,0.001532,0.002298
4cff5b33,ci_cd-000-6347,ml-team,ci_cd,us-west-2,4,0,0.319,urgent,2025-01-01 19:34:00,2025-01-01 19:53:08.407507,ci_cd,0.051,0.000262,0.00021,0.000314
e47ccc3d,ci_cd-000-2145,data-eng,ci_cd,us-west-2,8,0,0.03,urgent,2025-01-01 15:58:00,2025-01-01 15:59:48.024904,ci_cd,0.0096,0.000104,8.3e-05,0.000124
358a4e92,ci_cd-000-2935,mobile,ci_cd,us-east-1,4,0,0.224,balanced,2025-01-01 12:55:00,2025-01-01 13:08:25.611433,ci_cd,0.0358,0.001458,0.001166,0.001749
745ceb86,ci_cd-000-8140,frontend,ci_cd,us-east-1,2,0,0.143,balanced,2025-01-01 14:25:00,2025-01-01 14:33:33.861537,ci_cd,0.0114,0.000452,0.000361,0.000542
7a04a8f6,ci_cd-000-1612,ml-team,ci_cd,us-west-2,2,0,0.267,balanced,2025-01-01 15:43:00,2025-01-01 15:59:01.126835,ci_cd,0.0214,0.000231,0.000185,0.000277
