execution_id,recommendation_id,job_id,action_taken,old_region,new_region,execution_status,mock_ticket_id,mock_pr_url,executed_at
fa49ccfe,3665bf1c,23471a67,time_shift,eu-west-1,eu-west-1,success,SUST-4938,https://github.com/org/infra/pull/938,2026-04-09 22:20:28.534336
d6cfe0da,dcbe1453,1f88ebbc,time_shift,eu-west-1,eu-west-1,success,SUST-9660,https://github.com/org/infra/pull/660,2026-04-09 22:20:29.355984
e048e5c0,aaa9c1a9,1851cc22,time_shift,eu-west-1,eu-west-1,success,SUST-6355,https://github.com/org/infra/pull/355,2026-04-09 22:20:30.303797
31153abf,6764f87d,4a441540,time_shift,eu-west-1,eu-west-1,success,SUST-6408,https://github.com/org/infra/pull/408,2026-04-09 22:20:31.152141
59ecefd2,e3bf90f9,3deda0c9,time_shift,eu-west-1,eu-west-1,success,SUST-7339,https://github.com/org/infra/pull/339,2026-04-09 22:20:32.232195
48b60c13,12e04a7a,d99bc0e8,time_shift,eu-west-1,eu-west-1,success,SUST-2934,https://github.com/org/infra/pull/934,2026-04-09 22:20:33.157165
5295385c,0f5c5316,a508de5e,time_shift,eu-west-1,eu-west-1,success,SUST-9205,https://github.com/org/infra/pull/205,2026-04-09 22:20:33.157319
6f523c66,907eb758,9e9cacda,time_shift,eu-west-1,eu-west-1,success,SUST-8671,https://github.com/org/infra/pull/671,2026-04-09 22:20:33.157426
1ed9b160,f50f50d3,cbbedd2b,time_shift,eu-west-1,eu-west-1,success,SUST-1829,https://github.com/org/infra/pull/829,2026-04-09 22:20:33.157525
2129c1e8,07aaefe9,2b738eb7,time_shift,eu-west-1,eu-west-1,success,SUST-4858,https://github.com/org/infra/pull/858,2026-04-09 22:20:33.157627
7170bc69,3c63aceb,922ad50c,time_shift,eu-west-1,eu-west-1,success,SUST-7708,https://github.com/org/infra/pull/708,2026-04-09 22:20:33.157742
b4fd65ca,26073e03,6b90e464,time_shift,eu-west-1,eu-west-1,success,SUST-3320,https://github.com/org/infra/pull/320,2026-04-09 22:20:33.157844
0ce593b6,2e9753bb,567ea0fe,time_shift,eu-west-1,eu-west-1,success,SUST-8601,https://github.com/org/infra/pull/601,2026-04-09 22:20:33.157937
c1ff459f,7d39d029,0ea46c5d,time_shift,eu-west-1,eu-west-1,success,SUST-2057,https://github.com/org/infra/pull/57,2026-04-09 22:20:33.158029
628b15b8,ff69bf55,25fbd7b2,time_shift,eu-west-1,eu-west-1,success,SUST-2936,https://github.com/org/infra/pull/936,2026-04-09 22:20:33.158117
bf02b808,8ca0dda5,b959aff9,time_shift,eu-west-1,eu-west-1,success,SUST-6115,https://github.com/org/infra/pull/115,2026-04-09 22:20:33.158208
dba5f5d6,72e72713,1065fd94,time_shift,eu-west-1,eu-west-1,success,SUST-2232,https://github.com/org/infra/pull/232,2026-04-09 22:20:33.158310
e4aea5b7,53b4d8c6,bc5d1681,time_shift,eu-west-1,eu-west-1,success,SUST-9049,https://github.com/org/infra/pull/49,2026-04-09 22:20:33.158402
5e27ca9a,71f6a6db,fe646f2e,time_shift,eu-west-1,eu-west-1,success,SUST-5922,https://github.com/org/infra/pull/922,2026-04-09 22:20:33.158493
c1de4a29,cf99affa,8ec2fcb4,time_shift,eu-west-1,eu-west-1,success,SUST-3972,https://github.com/org/infra/pull/972,2026-04-09 22:20:33.158584
3c3d830c,3e8ad537,9e5441bc,time_shift,eu-west-1,eu-west-1,success,SUST-0824,https://github.com/org/infra/pull/824,2026-04-09 22:20:33.158681
6a362bf4,fc30332b,565f8d61,time_shift,eu-west-1,eu-west-1,success,SUST-8958,https://github.com/org/infra/pull/958,2026-04-09 22:20:33.158776
3e877d1b,08a30834,288ceb65,time_shift,eu-west-1,eu-west-1,success,SUST-0457,https://github.com/org/infra/pull/457,2026-04-09 22:20:33.158871
d1b3fa65,f5d0920d,e5d79e6a,time_shift,eu-west-1,eu-west-1,success,SUST-2048,https://github.com/org/infra/pull/48,2026-04-09 22:20:33.158968
56e28979,dbee5586,95af35ee,time_shift,eu-west-1,eu-west-1,success,SUST-8141,https://github.com/org/infra/pull/141,2026-04-09 22:20:33.159060
7c35b3ba,d618cf30,e91331a3,time_shift,eu-west-1,eu-west-1,success,SUST-9075,https://github.com/org/infra/pull/75,2026-04-09 22:20:33.159164
ce7dbe1f,b7922f27,d6b155bf,time_shift,eu-west-1,eu-west-1,success,SUST-3725,https://github.com/org/infra/pull/725,2026-04-09 22:20:33.159265
47c6b1b5,007e0e02,1807a747,time_shift,eu-west-1,eu-west-1,success,SUST-0368,https://github.com/org/infra/pull/368,2026-04-09 22:20:33.159341
18782355,95bad015,9f3df590,time_shift,eu-west-1,eu-west-1,success,SUST-6317,https://github.com/org/infra/pull/317,2026-04-09 22:20:33.159410
b51a7c3f,691f0960,e160b66c,time_shift,eu-west-1,eu-west-1,success,SUST-5298,https://github.com/org/infra/pull/298,2026-04-09 22:20:33.159479
170c0139,874ffcac,0ee35e17,time_shift,eu-west-1,eu-west-1,success,SUST-4932,https://github.com/org/infra/pull/932,2026-04-09 22:20:33.159551
6520cb63,56b51a78,ee629fd5,time_shift,eu-west-1,eu-west-1,success,SUST-9281,https://github.com/org/infra/pull/281,2026-04-09 22:20:33.159620
e2cd6caa,cc47a364,7929d93d,time_shift,eu-west-1,eu-west-1,success,SUST-2643,https://github.com/org/infra/pull/643,2026-04-09 22:20:33.159694
75714e7a,915e9b1b,473ec620,time_shift,eu-west-1,eu-west-1,success,SUST-4054,https://github.com/org/infra/pull/54,2026-04-09 22:20:33.159771
b1a6e1d8,31e143bc,214d71ee,time_shift,eu-west-1,eu-west-1,success,SUST-2150,https://github.com/org/infra/pull/150,2026-04-09 22:20:33.159840
62a82089,5e4601d1,5706593c,time_shift,eu-west-1,eu-west-1,success,SUST-0683,https://github.com/org/infra/pull/683,2026-04-09 22:20:33.159908
2c9d156b,7b694308,5e192a2e,time_shift,eu-west-1,eu-west-1,success,SUST-1788,https://github.com/org/infra/pull/788,2026-04-09 22:20:33.159976
3337a7f7,9d069c3c,e4f1432f,time_shift,eu-west-1,eu-west-1,success,SUST-8306,https://github.com/org/infra/pull/306,2026-04-09 22:20:33.160050
4d30448e,a7b3d13f,4caf99c3,time_shift,eu-west-1,eu-west-1,success,SUST-5658,https://github.com/org/infra/pull/658,2026-04-09 22:20:33.160119
54186186,856fb941,ada21b68,time_shift,eu-west-1,eu-west-1,success,SUST-3119,https://github.com/org/infra/pull/119,2026-04-09 22:20:33.160191
775bd3d6,560bb341,37486600,time_shift,eu-west-1,eu-west-1,success,SUST-6430,https://github.com/org/infra/pull/430,2026-04-09 22:20:33.160266
b20668b4,b34d1c68,664b0741,time_shift,eu-west-1,eu-west-1,success,SUST-6586,https://github.com/org/infra/pull/586,2026-04-09 22:20:33.160337
9105c8e8,b5098cde,2461812f,time_shift,eu-west-1,eu-west-1,success,SUST-8071,https://github.com/org/infra/pull/71,2026-04-09 22:20:33.160406
44724dbb,f9e36c32,ca10d63a,time_shift,eu-west-1,eu-west-1,success,SUST-4992,https://github.com/org/infra/pull/992,2026-04-09 22:20:33.160487
ebb5d6d3,488cf278,c4520ba0,time_shift,eu-west-1,eu-west-1,success,SUST-0864,https://github.com/org/infra/pull/864,2026-04-09 22:20:33.160557
ad98bac3,bdb8e282,cd38f6e6,time_shift,eu-west-1,eu-west-1,success,SUST-2433,https://github.com/org/infra/pull/433,2026-04-09 22:20:33.160628
37b1c29d,65696843,481e0bab,time_shift,eu-west-1,eu-west-1,success,SUST-4680,https://github.com/org/infra/pull/680,2026-04-09 22:20:33.160697
cd694649,d6f8e1de,e8c170c1,time_shift,eu-west-1,eu-west-1,success,SUST-1134,https://github.com/org/infra/pull/134,2026-04-09 22:20:33.160766
51a75e29,643ecfaa,ed01711e,time_shift,eu-west-1,eu-west-1,success,SUST-2973,https://github.com/org/infra/pull/973,2026-04-09 22:20:33.160844
e4399cc0,68cc0056,3dc9f7be,time_shift,eu-west-1,eu-west-1,success,SUST-7633,https://github.com/org/infra/pull/633,2026-04-09 22:20:33.160922
8793b4e0,636dc9fc,c66d18d5,time_shift,eu-west-1,eu-west-1,success,SUST-1082,https://github.com/org/infra/pull/82,2026-04-09 22:20:33.160994
72e79c31,486fe1a3,7713b5bc,time_shift,eu-west-1,eu-west-1,success,SUST-4273,https://github.com/org/infra/pull/273,2026-04-09 22:20:33.161064
948da737,70e45ae9,485d9f2e,time_shift,eu-west-1,eu-west-1,success,SUST-7372,https://github.com/org/infra/pull/372,2026-04-09 22:20:33.161137
67ef8386,1c7d5b39,a7379847,time_shift,eu-west-1,eu-west-1,success,SUST-8210,https://github.com/org/infra/pull/210,2026-04-09 22:20:33.161207
