job_id,name,team_id,service_name,region,vcpus,gpu_count,duration_hours,category,started_at,ended_at,workload_type,cost_usd,kgco2e,kgco2e_lower,kgco2e_upper
d7b61603,ci_cd-000-8585,devops,ci_cd,us-east-1,2,0,0.03,balanced,2025-01-01 15:25:00,2025-01-01 15:26:48.000000,ci_cd,0.0024,9.5e-05,8.5e-05,0.000104
24083d2f,ci_cd-000-1281,data-eng,ci_cd,us-west-2,4,0,0.317,balanced,2025-01-01 20:30:00,2025-01-01 20:49:00.007645,ci_cd,0.0507,0.000298,0.000268,0.000328
166c0f4c,ci_cd-000-4434,frontend,ci_cd,us-east-1,4,0,0.056,balanced,2025-01-01 20:32:00,2025-01-01 20:35:22.203396,ci_cd,0.009,0.000361,0.000325,0.000397
f970be4f,ci_cd-000-7580,backend-api,ci_cd,us-east-1,8,0,0.177,balanced,2025-01-01 17:09:00,2025-01-01 17:19:36.554080,ci_cd,0.0566,0.002297,0.002068,0.002527
d753a107,ci_cd-000-4667,platform,ci_cd,us-east-1,2,0,0.265,balanced,2025-01-01 08:21:00,2025-01-01 08:36:52.643342,ci_cd,0.0212,0.000881,0.000793,0.000969
f67eff30,ci_cd-000-3258,backend-api,ci_cd,us-east-1,4,0,0.369,urgent,2025-01-01 22:24:00,2025-01-01 22:46:09.645038,ci_cd,0.059,0.00256,0.002304,0.002816
5a0d382d,ci_cd-000-2269,mobile,ci_cd,us-east-1,4,0,0.281,balanced,2025-01-01 15:19:00,2025-01-01 15:35:53.303305,ci_cd,0.045,0.001771,0.001593,0.001947
c78f40ac,ci_cd-000-3874,backend-api,ci_cd,us-east-1,4,0,0.234,urgent,2025-01-01 20:50:00,2025-01-01 21:04:00.741596,ci_cd,0.0374,0.001507,0.001356,0.001658
334879d0,ci_cd-000-7869,mobile,ci_cd,us-east-1,4,0,0.152,balanced,2025-01-01 00:47:00,2025-01-01 00:56:07.377543,ci_cd,0.0243,0.001013,0.000912,0.001114
f60ec460,ci_cd-000-1397,platform,ci_cd,us-east-1,4,0,0.345,balanced,2025-01-01 17:02:00,2025-01-01 17:22:42.870311,ci_cd,0.0552,0.002239,0.002015,0.002463
d71d6976,ci_cd-000-6347,ml-team,ci_cd,us-west-2,4,0,0.319,urgent,2025-01-01 19:34:00,2025-01-01 19:53:08.407507,ci_cd,0.051,0.000298,0.000268,0.000328
002a6f47,ci_cd-000-2145,data-eng,ci_cd,us-west-2,8,0,0.03,urgent,2025-01-01 15:58:00,2025-01-01 15:59:48.024904,ci_cd,0.0096,4.9e-05,4.4e-05,5.4e-05
0d593a29,ci_cd-000-2935,mobile,ci_cd,us-east-1,4,0,0.224,balanced,2025-01-01 12:55:00,2025-01-01 13:08:25.611433,ci_cd,0.0358,0.001501,0.001351,0.001651
c7531a8c,ci_cd-000-8140,frontend,ci_cd,us-east-1,2,0,0.143,balanced,2025-01-01 14:25:00,2025-01-01 14:33:33.861537,ci_cd,0.0114,0.000451,0.000406,0.000497
f2189811,ci_cd-000-1612,ml-team,ci_cd,us-west-2,2,0,0.267,balanced,2025-01-01 15:43:00,2025-01-01 15:59:01.126835,ci_cd,0.0214,0.000109,9.8e-05,0.00012
ba462e8f,ci_cd-000-3015,mobile,ci_cd,us-east-1,4,0,0.03,urgent,2025-01-01 14:14:00,2025-01-01 14:15:48.000000,ci_cd,0.0048,0.000189,0.00017,0.000208
28d5654c,ci_cd-000-9085,devops,ci_cd,us-east-1,2,0,0.395,balanced,2025-01-01 22:21:00,2025-01-01 22:44:41.583281,ci_cd,0.0316,0.00137,0.001233,0.001507
7069e44c,ci_cd-000-4493,backend-api,ci_cd,us-east-1,2,0,0.149,balanced,2025-01-01 19:47:00,2025-01-01 19:55:56.922139,ci_cd,0.0119,0.000477,0.000429,0.000524
43d88952,ci_cd-000-3059,mobile,ci_cd,us-east-1,2,0,0.03,balanced,2025-01-01 08:43:00,2025-01-01 08:44:48.000000,ci_cd,0.0024,0.0001,9e-05,0.00011
b0bcb537,ci_cd-000-4320,mobile,ci_cd,us-east-1,4,0,0.164,urgent,2025-01-01 19:39:00,2025-01-01 19:48:50.747961,ci_cd,0.0262,0.001049,0.000944,0.001154
dd613831,ci_cd-000-0416,ml-team,ci_cd,us-west-2,4,0,0.254,urgent,2025-01-01 14:47:00,2025-01-01 15:02:12.710372,ci_cd,0.0406,0.000191,0.000172,0.00021
