job_id,name,team_id,service_name,region,vcpus,gpu_count,duration_hours,category,started_at,ended_at,workload_type,kgco2e,cost_usd
23471a67,ci_cd-000-1705,eu-frontend,ci_cd,eu-west-1,4,0,0.03,balanced,2025-01-01 21:47:00,2025-01-01 21:48:48.000000,ci_cd,0.000221,0.0055
1f88ebbc,ci_cd-000-1077,eu-frontend,ci_cd,eu-west-1,2,0,0.055,balanced,2025-01-01 23:19:00,2025-01-01 23:22:18.000000,ci_cd,0.000211,0.0051
1851cc22,ci_cd-000-8864,eu-frontend,ci_cd,eu-west-1,4,0,0.174,balanced,2025-01-01 23:33:00,2025-01-01 23:43:26.400000,ci_cd,0.001337,0.032
4a441540,ci_cd-000-8271,eu-frontend,ci_cd,eu-west-1,4,0,0.334,balanced,2025-01-01 04:26:00,2025-01-01 04:46:02.400000,ci_cd,0.001517,0.0615
3deda0c9,ci_cd-000-3615,eu-backend,ci_cd,eu-west-1,4,0,0.296,balanced,2025-01-02 03:04:00,2025-01-02 03:21:45.600000,ci_cd,0.001055,0.0545
d99bc0e8,ci_cd-000-2312,eu-frontend,ci_cd,eu-west-1,2,0,0.073,balanced,2025-01-01 21:09:00,2025-01-01 21:13:22.800000,ci_cd,0.000269,0.0067
a508de5e,ci_cd-000-8767,eu-frontend,ci_cd,eu-west-1,8,0,0.033,sustainable,2025-01-02 03:18:00,2025-01-02 03:19:58.800000,ci_cd,0.000235,0.0121
9e9cacda,ci_cd-000-4496,eu-frontend,ci_cd,eu-west-1,4,0,0.291,balanced,2025-01-01 05:59:00,2025-01-01 06:16:27.600000,ci_cd,0.001398,0.0535
cbbedd2b,ci_cd-000-7449,eu-backend,ci_cd,eu-west-1,4,0,0.567,balanced,2025-01-02 03:01:00,2025-01-02 03:35:01.200000,ci_cd,0.002021,0.1043
2b738eb7,ci_cd-000-1118,eu-backend,ci_cd,eu-west-1,2,0,0.158,balanced,2025-01-01 22:27:00,2025-01-01 22:36:28.800000,ci_cd,0.000535,0.0145
922ad50c,ci_cd-000-3533,eu-backend,ci_cd,eu-west-1,8,0,0.081,balanced,2025-01-01 22:45:00,2025-01-01 22:49:51.600000,ci_cd,0.001097,0.0298
6b90e464,ci_cd-000-4363,eu-backend,ci_cd,eu-west-1,2,0,0.159,balanced,2025-01-01 04:05:00,2025-01-01 04:14:32.400000,ci_cd,0.000361,0.0146
567ea0fe,ci_cd-000-1719,eu-frontend,ci_cd,eu-west-1,4,0,0.351,sustainable,2025-01-02 02:46:00,2025-01-02 03:07:03.600000,ci_cd,0.001439,0.0646
