recommendation_id,job_id,action_type,current_region,proposed_region,current_time,proposed_time,est_carbon_delta_kg,est_cost_delta_usd,confidence,rationale,status,risk_level
3665bf1c,23471a67,time_shift,eu-west-1,eu-west-1,2025-01-01 17:47:00,2025-01-01 21:47:00,-4.4e-05,0.0,0.668,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.0 gCO₂e (cost delta: $+0.0000, confidence: 67%).",verified,low
dcbe1453,1f88ebbc,time_shift,eu-west-1,eu-west-1,2025-01-01 19:19:00,2025-01-01 23:19:00,-4e-05,0.0,0.661,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.0 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
aaa9c1a9,1851cc22,time_shift,eu-west-1,eu-west-1,2025-01-01 19:33:00,2025-01-01 23:33:00,-0.000251,0.0,0.664,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.3 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
6764f87d,4a441540,time_shift,eu-west-1,eu-west-1,2025-01-01 00:26:00,2025-01-01 04:26:00,-0.000446,0.0,0.691,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.4 gCO₂e (cost delta: $+0.0000, confidence: 69%).",verified,low
e3bf90f9,3deda0c9,time_shift,eu-west-1,eu-west-1,2025-01-01 23:04:00,2025-01-02 03:04:00,-0.001219,0.0,0.814,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.2 gCO₂e (cost delta: $+0.0000, confidence: 81%).",verified,low
12e04a7a,d99bc0e8,time_shift,eu-west-1,eu-west-1,2025-01-01 17:09:00,2025-01-01 21:09:00,-5.3e-05,0.0,0.665,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
0f5c5316,a508de5e,time_shift,eu-west-1,eu-west-1,2025-01-01 19:18:00,2025-01-02 03:18:00,-0.000367,0.0,0.844,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.4 gCO₂e (cost delta: $+0.0000, confidence: 84%).",verified,low
907eb758,9e9cacda,time_shift,eu-west-1,eu-west-1,2025-01-01 01:59:00,2025-01-01 05:59:00,-0.000475,0.0,0.702,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.5 gCO₂e (cost delta: $+0.0000, confidence: 70%).",verified,low
f50f50d3,cbbedd2b,time_shift,eu-west-1,eu-west-1,2025-01-01 23:01:00,2025-01-02 03:01:00,-0.002335,0.0,0.815,"Shifting time shift from eu-west-1 to eu-west-1 saves 2.3 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
07aaefe9,2b738eb7,time_shift,eu-west-1,eu-west-1,2025-01-01 18:27:00,2025-01-01 22:27:00,-0.000316,0.0,0.749,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.3 gCO₂e (cost delta: $+0.0000, confidence: 75%).",verified,low
3c63aceb,922ad50c,time_shift,eu-west-1,eu-west-1,2025-01-01 18:45:00,2025-01-01 22:45:00,-0.000648,0.0,0.748,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.6 gCO₂e (cost delta: $+0.0000, confidence: 75%).",verified,low
26073e03,6b90e464,time_shift,eu-west-1,eu-west-1,2025-01-01 00:05:00,2025-01-01 04:05:00,-0.000106,0.0,0.692,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 69%).",verified,low
2e9753bb,567ea0fe,time_shift,eu-west-1,eu-west-1,2025-01-01 18:46:00,2025-01-02 02:46:00,-0.002342,0.0,0.848,"Shifting time shift from eu-west-1 to eu-west-1 saves 2.3 gCO₂e (cost delta: $+0.0000, confidence: 85%).",verified,low
7d39d029,0ea46c5d,time_shift,eu-west-1,eu-west-1,2025-01-01 17:24:00,2025-01-01 21:24:00,-0.000578,0.0,0.666,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.6 gCO₂e (cost delta: $+0.0000, confidence: 67%).",verified,low
ff69bf55,25fbd7b2,time_shift,eu-west-1,eu-west-1,2025-01-01 22:04:00,2025-01-02 02:04:00,-7.3e-05,0.0,0.758,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 76%).",verified,low
