verification_id,recommendation_id,counterfactual_kgco2e,actual_kgco2e,verified_savings_kgco2e,ci_lower,ci_upper,sla_compliant,verification_status,evidence_chain_steps,verified_at
0e61a7af,3665bf1c,0.000265,0.000221,4.4e-05,-5.3e-05,0.000141,True,partial,7,2026-04-09 22:20:40.038225
9f743a02,dcbe1453,0.000251,0.000211,4e-05,-5.3e-05,0.000132,True,partial,7,2026-04-09 22:20:40.040334
82adfece,aaa9c1a9,0.001588,0.001337,0.000251,-0.000334,0.000836,True,partial,7,2026-04-09 22:20:40.042545
2afc8263,6764f87d,0.001963,0.001517,0.000445,-0.000251,0.001141,True,partial,7,2026-04-09 22:20:40.045244
a76a8b64,e3bf90f9,0.002274,0.001055,0.001219,0.000554,0.001885,True,confirmed,7,2026-04-09 22:20:40.055554
25ca1286,12e04a7a,0.000322,0.000269,5.4e-05,-6.5e-05,0.000172,True,partial,7,2026-04-09 22:20:40.057680
036912ba,0f5c5316,0.000602,0.000235,0.000367,0.0002,0.000535,True,confirmed,7,2026-04-09 22:20:40.060829
e4810206,907eb758,0.001873,0.001398,0.000475,-0.000179,0.001129,True,partial,7,2026-04-09 22:20:40.062849
200493fd,f50f50d3,0.004356,0.002021,0.002335,0.00106,0.003611,True,confirmed,7,2026-04-09 22:20:40.065950
07cd9d61,07aaefe9,0.000851,0.000535,0.000316,3.9e-05,0.000593,True,confirmed,7,2026-04-09 22:20:40.068063
1e179549,3c63aceb,0.001745,0.001097,0.000648,8e-05,0.001217,True,confirmed,7,2026-04-09 22:20:40.070412
67d8fdd7,26073e03,0.000467,0.000361,0.000106,-6e-05,0.000272,True,partial,7,2026-04-09 22:20:40.072013
32a97929,2e9753bb,0.003781,0.001439,0.002341,0.001298,0.003385,True,confirmed,7,2026-04-09 22:20:40.073489
c10b7052,7d39d029,0.00348,0.002902,0.000578,-0.000699,0.001854,True,partial,7,2026-04-09 22:20:40.075252
85d71ae2,ff69bf55,0.000186,0.000113,7.3e-05,1.4e-05,0.000133,True,confirmed,7,2026-04-09 22:20:40.079226
551d6a39,8ca0dda5,0.00151,0.000664,0.000846,0.000411,0.001281,True,confirmed,7,2026-04-09 22:20:40.080752
7f5abf80,72e72713,0.000132,0.00011,2.2e-05,-2.7e-05,7.1e-05,True,partial,7,2026-04-09 22:20:40.082892
0dfdd91c,53b4d8c6,0.001608,0.001294,0.000314,-0.000266,0.000894,True,partial,7,2026-04-09 22:20:40.085088
05b31898,71f6a6db,0.002097,0.00155,0.000546,-0.000183,0.001276,True,partial,7,2026-04-09 22:20:40.086852
0a501f43,cf99affa,0.00188,0.001583,0.000297,-0.000396,0.00099,True,partial,7,2026-04-09 22:20:40.088800
cf479b08,3e8ad537,0.001436,0.001033,0.000403,-9.1e-05,0.000897,True,partial,7,2026-04-09 22:20:40.090499
b081c2fc,fc30332b,0.000123,5.7e-05,6.6e-05,3e-05,0.000102,True,confirmed,7,2026-04-09 22:20:40.092609
6dff97c2,08a30834,0.000992,0.000601,0.000391,7.3e-05,0.000709,True,confirmed,7,2026-04-09 22:20:40.095578
c09d0d1d,f5d0920d,0.002527,0.002033,0.000494,-0.000418,0.001406,True,partial,7,2026-04-09 22:20:40.097650
28029a2c,dbee5586,0.001029,0.000456,0.000572,0.000276,0.00087,True,confirmed,7,2026-04-09 22:20:40.099795
ee3f639d,d618cf30,0.00221,0.00098,0.00123,0.000592,0.001868,True,confirmed,7,2026-04-09 22:20:40.101610
b0f2e5d5,b7922f27,0.001186,0.000999,0.000188,-0.00025,0.000625,True,partial,7,2026-04-09 22:20:40.103198
ee7d6707,007e0e02,0.006184,0.004976,0.001208,-0.001023,0.003439,True,partial,7,2026-04-09 22:20:40.104666
f071f1c7,95bad015,0.002068,0.001664,0.000404,-0.000342,0.00115,True,partial,7,2026-04-09 22:20:40.106307
6da6aebb,691f0960,0.00044,0.000267,0.000173,3.2e-05,0.000315,True,confirmed,7,2026-04-09 22:20:40.107852
06be36cf,874ffcac,0.000274,0.00023,4.3e-05,-5.8e-05,0.000144,True,partial,7,2026-04-09 22:20:40.109444
5ba199e6,56b51a78,0.000164,0.000138,2.6e-05,-3.5e-05,8.6e-05,True,partial,7,2026-04-09 22:20:40.111815
0b94fce6,cc47a364,0.00223,0.000634,0.001596,0.001023,0.002169,True,confirmed,7,2026-04-09 22:20:40.113358
71ed94b3,915e9b1b,0.00382,0.002953,0.000867,-0.000488,0.002221,True,partial,7,2026-04-09 22:20:40.115172
e26ebd2a,31e143bc,0.000574,0.000462,0.000112,-9.5e-05,0.000319,True,partial,7,2026-04-09 22:20:40.116855
7df9d2c0,5e4601d1,0.00014,6.2e-05,7.8e-05,3.8e-05,0.000119,True,confirmed,7,2026-04-09 22:20:40.118874
cb3c8efe,7b694308,0.000331,0.000287,4.4e-05,-8e-05,0.000168,True,partial,7,2026-04-09 22:20:40.120440
a312a541,9d069c3c,0.003328,0.001464,0.001864,0.000906,0.002822,True,confirmed,7,2026-04-09 22:20:40.121962
f211543f,a7b3d13f,0.000646,0.000406,0.00024,3e-05,0.000451,True,confirmed,7,2026-04-09 22:20:40.124131
d5c76e94,856fb941,0.000592,0.000274,0.000317,0.000144,0.00049,True,confirmed,7,2026-04-09 22:20:40.125819
9c032114,560bb341,0.000561,0.000472,8.9e-05,-0.000118,0.000295,True,partial,7,2026-04-09 22:20:40.129480
b9d4e59f,b34d1c68,0.003925,0.003158,0.000767,-0.000649,0.002183,True,partial,7,2026-04-09 22:20:40.130969
e12e5150,b5098cde,0.000102,6.2e-05,4e-05,7e-06,7.3e-05,True,confirmed,7,2026-04-09 22:20:40.132904
cf8c9437,f9e36c32,0.000268,0.000158,0.00011,2.5e-05,0.000196,True,confirmed,7,2026-04-09 22:20:40.134425
2345e10b,488cf278,0.000406,0.000246,0.00016,3e-05,0.000291,True,confirmed,7,2026-04-09 22:20:40.136088
1b46d27c,bdb8e282,0.007001,0.00199,0.00501,0.003211,0.006808,True,confirmed,7,2026-04-09 22:20:40.137605
f59c0e41,65696843,0.000221,7.6e-05,0.000145,8.5e-05,0.000204,True,confirmed,7,2026-04-09 22:20:40.139115
46b24f69,d6f8e1de,0.001495,0.001236,0.000259,-0.000287,0.000805,True,partial,7,2026-04-09 22:20:40.140578
1e87ee98,643ecfaa,0.00109,0.000377,0.000713,0.00042,0.001007,True,confirmed,7,2026-04-09 22:20:40.142470
f244d777,68cc0056,0.003274,0.002634,0.00064,-0.000542,0.001821,True,partial,7,2026-04-09 22:20:40.144720
d0e3dc22,636dc9fc,0.001889,0.001144,0.000745,0.000138,0.001351,True,confirmed,7,2026-04-09 22:20:40.146206
7ee06cd5,486fe1a3,0.000944,0.000795,0.000149,-0.000199,0.000497,True,partial,7,2026-04-09 22:20:40.148001
1410df34,70e45ae9,0.001599,0.001286,0.000312,-0.000265,0.000889,True,partial,7,2026-04-09 22:20:40.149967
8900c013,1c7d5b39,0.002641,0.001418,0.001222,0.000411,0.002034,True,confirmed,7,2026-04-09 22:20:40.151630
728cff7e,f6914d1b,0.007008,0.0059,0.001108,-0.001475,0.00369,True,partial,7,2026-04-09 22:20:40.153101
74e0a477,b6c31376,0.004021,0.002436,0.001585,0.000294,0.002876,True,confirmed,7,2026-04-09 22:20:40.154620
0b649c52,a3cd6780,0.001634,0.001363,0.000271,-0.000328,0.000871,True,partial,7,2026-04-09 22:20:40.156131
979165b2,74550abc,0.00028,0.000123,0.000157,7.6e-05,0.000237,True,confirmed,7,2026-04-09 22:20:40.157595
086c711b,9ccb41b2,0.001528,0.001264,0.000265,-0.000294,0.000823,True,partial,7,2026-04-09 22:20:40.160722
